company,role,location,link,age
Applied Materials,Associate Product Manager New College Grad - Bachelors,"Austin, TX",https://amat.wd1.myworkdayjobs.com/en-US/External/job/AustinTX/Associate-Product-Manager--Austin--TX---NCG-_R2516315?utm_source=Simplify&ref=Simplify,25d
🔥 TikTok,Product Manager Ads Measurement Graduate (Measurement Signal and Privacy Product),"San Jose, CA",https://lifeattiktok.com/search/7538903496654407943?utm_source=Simplify&ref=Simplify,28d
🔥 TikTok,Product Manager Ads Attribution and Measurement Graduate (Measurement Signal and Privacy Product),"San Jose, CA",https://lifeattiktok.com/search/7538896306908252434?utm_source=Simplify&ref=Simplify,28d
🔥 Databricks,Associate Product Manager – New Grad - 2026 Start,"San Francisco, CA, Bellevue, WA, Mountain View, CA",https://boards.greenhouse.io/embed/job_app?token=7586263002&utm_source=Simplify&ref=Simplify,1mo
🔥 TikTok,Product Manager (TikTok-Product-Social and Creation) - 2025 Start (BS/MS),"San Jose, CA",https://lifeattiktok.com/search/7400808756194461961?utm_source=Simplify&ref=Simplify,1mo
🔥 Duolingo,AI Research Engineer 🎓,"New York, NY",https://careers.duolingo.com/jobs/8169815002?utm_source=Simplify&ref=Simplify,0d
🔥 Duolingo,AI Research Engineer 🎓,"Pittsburgh, PA",https://careers.duolingo.com/jobs/8151163002?utm_source=Simplify&ref=Simplify,0d
Gartner,Data Analyst 🛂,"Irving, TX, Stamford, CT",https://gartner.wd5.myworkdayjobs.com/en-US/ext/job/Irving-TX/Data-Analyst---2026-graduates_103573?utm_source=Simplify&ref=Simplify,0d
🔥 Adobe,2026 University Graduate - Machine Learning Engineer 🎓,"SF, San Jose, CA",https://adobe.wd5.myworkdayjobs.com/external_experienced/job/San-Jose/XMLNAME-2026-University-Graduate---Machine-Learning-Engineer_R160137?utm_source=Simplify&ref=Simplify,2d
🔥 Duolingo,Data Scientist – New Graduate,"Pittsburgh, PA",https://careers.duolingo.com/jobs/8162849002?gh_jid=8162849002&utm_source=Simplify&ref=Simplify,2d
Citi,Reference Data Analyst Junior,"Getzville, NY",https://citi.wd5.myworkdayjobs.com/en-US/2/job/Getzville-New-York-United-States/Reference-Data-Analyst-Junior_25905888?utm_source=Simplify&ref=Simplify,2d
🔥 Adobe,2026 University Graduate - Data Scientist,"San Jose, CA",https://adobe.wd5.myworkdayjobs.com/external_experienced/job/San-Jose/XMLNAME-2026-University-Graduate---Data-Scientist_R158623?utm_source=Simplify&ref=Simplify,5d
🔥 Adobe,2026 University Graduate - Data Scientist,"San Jose, CA",https://adobe.wd5.myworkdayjobs.com/external_experienced/job/San-Jose/XMLNAME-2026-University-Graduate---Data-Scientist_R158865?utm_source=Simplify&ref=Simplify,5d
🔥 Adobe,2026 University Graduate - Data Scientist,"San Jose, CA",https://adobe.wd5.myworkdayjobs.com/external_experienced/job/San-Jose/XMLNAME-2026-University-Graduate---Data-Scientist_R158866?utm_source=Simplify&ref=Simplify,6d
Cellular Sales,Junior Data Engineer,"Knoxville, TN",https://careers-cellularsales.icims.com/jobs/19001/job?mobile=true&needsRedirect=false&utm_source=Simplify&ref=Simplify,7d
"Medpace, Inc.",Junior Data Engineer,"Cincinnati, OH",https://careers.medpace.com/jobs/11361?lang=en-us&icims=1&utm_source=Simplify&ref=Simplify,7d
Boom,"Data Scientist, New Grad 🇺🇸","Denver, CO",https://job-boards.greenhouse.io/boomsupersonic/jobs/5643300004?utm_source=Simplify&ref=Simplify,8d
Morgan Stanley,Machine Learning Research Associate Program - PhD 🎓,"New York, NY",https://ms.wd5.myworkdayjobs.com/en-US/external/job/New-York-New-York-United-States-of-America/Machine-Learning-Research-Associate-Program---PhD_JR020171?utm_source=Simplify&ref=Simplify,8d
🔥 Adobe,2026 University Graduate - Machine Learning Engineer 🎓,"San Jose, CA",https://adobe.wd5.myworkdayjobs.com/external_experienced/job/San-Jose/XMLNAME-2026-University-Graduate---Machine-Learning-Engineer_R157573?utm_source=Simplify&ref=Simplify,9d
TD Securities,Machine Learning Engineer I,"Toronto, ON, Canada",https://td.wd3.myworkdayjobs.com/en-US/TD_Bank_Careers/job/Toronto-Ontario/Machine-Learning-Engineer-I_R_1443721?utm_source=Simplify&ref=Simplify,9d
🔥 Figma,Early Career - Data Scientist,"SF, NYC",https://boards.greenhouse.io/figma/jobs/5615025004?utm_source=Simplify&ref=Simplify,9d
Hewlett Packard Enterprise,Data Science Graduate,"Fort Collins, CO",https://hpe.wd5.myworkdayjobs.com/en-US/acjobsite/job/Ft-Collins-Colorado-United-States-of-America/Data-Science-Graduate--Colorado-_1193617?utm_source=Simplify&ref=Simplify,9d
Verisk,Junior Data Scientist,"London, UK, Norwich, UK",https://fa-ewmy-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/jobs/job/1920?utm_source=Simplify&ref=Simplify,12d
PDI Technologies,Junior Machine Learning Engineer 🛂," Alpharetta, GA, Temple, TX, Dallas, TX, Houston, TX",https://jobs.lever.co/pditechnologies/dabd35a1-a15f-4702-8beb-f4c5d6a3d837?utm_source=Simplify&ref=Simplify,12d
Tria Federal,Data Analyst (BI/Reporting) Level I,"Falls Church, VA",https://triafed.com/jobs/?gh_jid=4890304008&utm_source=Simplify&ref=Simplify,12d
Tria Federal,Data Analyst (Developer) Level I,"Falls Church, VA",https://triafed.com/jobs/?gh_jid=4890318008&utm_source=Simplify&ref=Simplify,12d
Canonical,Junior Data Engineer,Remote in UK,https://job-boards.greenhouse.io/canonical/jobs/6642917?utm_source=Simplify&ref=Simplify,13d
Bonterra,"EA-Data Engineer I, Services 🛂",Remote in USA,https://bonterra.wd1.myworkdayjobs.com/en-US/bonterratech/job/Remote-United-States/EA-Data-Engineer-I--Services_R2025-0310?utm_source=Simplify&ref=Simplify,13d
The Cigna Group,Technology Development Program (TECDP) - Artificial Intelligence 🇺🇸," St. Louis, MO, Morris Plains, NJ, Bloomfield, CT, Austin, TX",https://cigna.wd5.myworkdayjobs.com/en-US/cignacareers/job/St-Louis-MO/Technology-Development-Program--TECDP-----Artificial-Intelligence-Track---Start-Date--July-13--2026_25011433?utm_source=Simplify&ref=Simplify,13d
VIAVI,Early Careers Rotational Program - R&D Engineer (AI),"Minnetonka, MN",https://viavisolutions.wd1.myworkdayjobs.com/en-US/careers/job/Minnetonka-MN-USA/Early-Careers-Rotational-Program---R-D-Engineer--AI-_250003743-1?utm_source=Simplify&ref=Simplify,13d
Torc Robotics,Machine Learning Engineer I - App Engine - Cuda,"Ann Arbor, MI",https://job-boards.greenhouse.io/torcrobotics/jobs/8136080002?utm_source=Simplify&ref=Simplify,14d
TD Bank,Machine Learning Engineer I,"Toronto, ON, Canada",https://td.wd3.myworkdayjobs.com/TD_Bank_Careers/job/Toronto-Ontario/Machine-Learning-Engineer-I_R_1442223?utm_source=Simplify&ref=Simplify,19d
EvenUp,Early Career Machine Learning Engineer,"Toronto, ON, Canada, SF",https://jobs.ashbyhq.com/evenup/58e747cc-0572-4316-83c0-f112ee52e3b5/application?utm_source=Simplify&ref=Simplify,19d
Hewlett Packard Enterprise,AI and Machine Learning Engineer I Graduate,"Spring, TX",https://hpe.wd5.myworkdayjobs.com/Jobsathpe/job/Spring-Texas-United-States-of-America/AI-and-Machine-Learning-Engineer-I-Graduate_1192917-1?utm_source=Simplify&ref=Simplify,20d
🔥 Google,Software Engineer – Early Career - PhD - AI/Machine Learning 🎓," Madison, WI, Seattle, WA, Raleigh, NC, San Bruno, CA, Durham, NC, Kirkland, WA, NYC, Sunnyvale, CA, Mountain View, CA, Atlanta, GA",https://www.google.com/about/careers/applications/jobs/results/122258040807137990?utm_source=Simplify&ref=Simplify,22d
Perr & Knight,Associate AI Developer," Charlotte, NC, Boca Raton, FL, Santa Monica, CA, Newark, NJ",https://jobs.lever.co/perrknight/b47e39ce-e26f-48aa-b53a-f93c87544101?utm_source=Simplify&ref=Simplify,22d
Together AI,Machine Learning / Research Engineer,"San Francisco, CA",https://job-boards.greenhouse.io/togetherai/jobs/4835315007?utm_source=Simplify&ref=Simplify,22d
🔥 Adobe,2026 University Graduate - Machine Learning Engineer 🎓," Seattle, WA, SF, Austin, TX, San Jose, CA, NYC, Lehi, UT",https://adobe.wd5.myworkdayjobs.com/external_experienced/job/San-Jose/XMLNAME-2026-University-Graduate---Machine-Learning-Engineer_R158682?utm_source=Simplify&ref=Simplify,23d
Cellular Sales,Junior Data Engineer,"Knoxville, TN",https://careers-cellularsales.icims.com/jobs/19001/junior-data-engineer/job?utm_source=Simplify&ref=Simplify,27d
Citadel Securities,Machine Learning Researcher 🎓,"Miami, FL, New York, NY",https://www.citadelsecurities.com/careers/details/machine-learning-researcher-phd-graduate-us/?utm_source=Simplify&ref=Simplify,28d
Applied Intuition,Research Engineer – New Grad 🎓,"Mountain View, CA",https://boards.greenhouse.io/appliedintuition/jobs/4489207005?utm_source=Simplify&ref=Simplify,29d
Housecall Pro,Graduate AI Solutions Specialist,"Denver, CO",https://www.housecallpro.com/careers/open-positions/?gh_jid=5620132004&utm_source=Simplify&ref=Simplify,29d
Chord Energy,Junior Data Engineer Azure,"Houston, TX",https://chordenergy.wd1.myworkdayjobs.com/external/job/Houston-TX---Corporate/Junior-Data-Engineer-Azure_R0002251-1?utm_source=Simplify&ref=Simplify,1mo
Harris,Junior Computational Linguist," VA, WI, AZ, TN, MI, MA, MO, CO, NM, Remote, London, UK",https://harriscomputer.wd3.myworkdayjobs.com/en-US/1/job/Virginia-United-States/Junior-Computational-Linguist_R0031051-4?utm_source=Simplify&ref=Simplify,1mo
🔥 TikTok,Machine Learning Engineer Graduate (Monetization Technology - TikTok Ads Creative & Ecosystem) - 2026 Start (BS/MS),"San Jose, CA",https://lifeattiktok.com/search/7535606471191824647?utm_source=Simplify&ref=Simplify,1mo
🔥 ByteDance,Software Engineer Graduate (Applied Machine Learning - Enterprise) - 2026 Start (BS/MS),"San Jose, CA",https://joinbytedance.com/search/7532538236133902599?utm_source=Simplify&ref=Simplify,1mo
🔥 ByteDance,Software Engineer Graduate (Applied Machine Learning - MLDev) - 2026 Start (BS/MS),"San Jose, CA",https://joinbytedance.com/search/7535233571066349842?utm_source=Simplify&ref=Simplify,1mo
Blue Origin,Machine Learning Engineer/Scientist I – Early Career 2025 University Grad,"Seattle, WA, Kent, WA",https://blueorigin.wd5.myworkdayjobs.com/blueorigin/job/Seattle-WA/Machine-Learning-Engineer-Scientist-I---Early-Career-2025-University-Grad_R54164?utm_source=Simplify&ref=Simplify,1mo
Applied Intuition,Research Scientist - New Grad,"Mountain View, CA",https://job-boards.greenhouse.io/appliedintuition/jobs/4489211005?utm_source=Simplify&ref=Simplify,1mo
🔥 Databricks,Data Scientist,"Mountain View, CA, San Francisco, CA",https://www.databricks.com/company/careers/university-recruiting/data-scientist---new-grad-2026-start-6866554002?gh_jid=6866554002&utm_source=Simplify&ref=Simplify,1mo
🔥 Tesla,"Machine Learning Engineer, Model Optimization & Deployment, Optimus","Palo Alto, CA",https://www.tesla.com/careers/search/job/247659?utm_source=Simplify&ref=Simplify,1mo
🔥 TikTok,Machine Learning Engineer - Search E-Commerce,"Seattle, WA",https://lifeattiktok.com/search/7534641634584185095?spread=5MWH5CQ&utm_source=Simplify&ref=Simplify,1mo
🔥 NVIDIA,"Research Scientist, Robotics Research","Seattle, WA",https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/US-WA-Seattle/Research-Scientist--Robotics-Research---New-College-Grad-2025_JR2001017?utm_source=Simplify&ref=Simplify,1mo
🔥 TikTok,Machine Learning Engineer – University Graduate - E-Commerce Risk Control - Phd 🎓,"Seattle, WA",https://lifeattiktok.com/search/7389784303494580490?utm_source=Simplify&ref=Simplify,1mo
🔥 TikTok,Machine Learning Engineer – University Graduate - E-Commerce Recommendation/Search Alliance - Phd 🎓,"Seattle, WA",https://lifeattiktok.com/search/7374538073428478259?utm_source=Simplify&ref=Simplify,1mo
🔥 TikTok,"Research Scientist - CV/NLP/Multimodal LLM, Trust and Safety - 2026 Start (BS/MS)","Seattle, WA",https://lifeattiktok.com/search/7530771170938865928?utm_source=Simplify&ref=Simplify,1mo
🔥 TikTok,Machine Learning Engineer (Lead Ads Technology) - 2026 Start (BS/MS),"San Jose, CA",https://lifeattiktok.com/search/7532240517976721671?utm_source=Simplify&ref=Simplify,1mo
🔥 TikTok,Software Engineer (Ads ML Infrastructure) - 2026 Start (BS/MS),"San Jose, CA",https://lifeattiktok.com/search/7531158600791705874?utm_source=Simplify&ref=Simplify,1mo
Qualtrics,Machine Learning Engineer 🛂,"Seattle, WA",https://www.qualtrics.com/careers/us/en/job/QUALUS6580294EXTERNALENUS/Machine-Learning-Engineer?utm_source=Simplify&ref=Simplify,1mo
🔥 TikTok,New Grad 2026: Machine Learning Engineer (Commerce Ads),"San Jose, CA",https://lifeattiktok.com/search/7531158608336242962?utm_source=Simplify&ref=Simplify,1mo
🔥 TikTok,New Grad 2026: Machine Learning/Research Engineer (Ads Core Global),"San Jose, CA",https://lifeattiktok.com/search/7532349111480273159?spread=5MWH5CQ&utm_source=Simplify&ref=Simplify,1mo
SHEIN,Big Data Engineer I 🎓,"San Diego, CA",https://job-boards.greenhouse.io/shein/jobs/4825893008?utm_source=Simplify&ref=Simplify,1mo
LMI,Junior Data Analyst - TS/SCI Required,"Washington, DC",https://careers-lmi.icims.com/jobs/12942/junior-data-analyst---ts-sci-required/job?utm_source=Simplify&ref=Simplify,1mo
Spotify,Associate Machine Learning Engineer,"New York, NY",https://jobs.lever.co/spotify/21c24edb-f625-4895-ad23-5a6320d54813?utm_source=Simplify&ref=Simplify,1mo
🔥 Lyft,PhD New Grad - Data Scientist - Algo - Inference - Driver Incentives 🎓,"Toronto, ON, Canada",https://app.careerpuck.com/job-board/lyft/job/8089317002?gh_jid=8089317002&utm_source=Simplify&ref=Simplify,1mo
Point72,Quantitative Portfolio Analyst,"New York, NY",https://job-boards.greenhouse.io/point72/jobs/8169967002?utm_source=Simplify&ref=Simplify,0d
BlackEdge Capital,Quantitative Researcher 🎓,"Chicago, IL",https://boards.greenhouse.io/embed/job_app?for=blackedgecapital&token=4600444005&utm_source=Simplify&ref=Simplify,2d
Valkyrie Trading,Junior Quantitative Researcher,"Chicago, IL",https://jobs.lever.co/valkyrietrading/6ba65cc5-53ec-4c92-ac98-dbc3326c75ab/apply?utm_source=Simplify&ref=Simplify,13d
BlackRock,"Associate, Quantitative Modeler","New York, NY",https://blackrock.wd1.myworkdayjobs.com/en-US/blackrock_professional/job/New-York-NY/Associate--Quantitative-Modeler_R250300?utm_source=Simplify&ref=Simplify,27d
Prudential Financial,"PGIM Quantitative Solutions, Portfolio Management Investment Associate","Newark, NJ",https://pru.wd5.myworkdayjobs.com/en-US/careers/job/Newark-NJ-USA/PGIM-Quantitative-Solutions--Portfolio-Management-Investment-Associate--Hybrid-_R-121848-1?utm_source=Simplify&ref=Simplify,27d
Citadel Securities,Quantitative Researcher – PhD Graduate 🎓,"Miami, FL, New York, NY",https://www.citadelsecurities.com/careers/details/quantitative-researcher-phd-graduate-us/?utm_source=Simplify&ref=Simplify,28d
Edgehog Trading,C++ Software Developer – Trading Strategy Execution,"Chicago, IL",https://ats.rippling.com/en-CA/edgehog-trading/jobs/a39cf004-d79c-4588-9a5f-6bdce04a85ee?utm_source=Simplify&ref=Simplify,29d
Hudson River Trading,Algorithm Developer (Quant Researcher) – 2026 Grads,"New York, NY",https://www.hudsonrivertrading.com/hrt-job/algorithm-developer-quant-researcher-2026-grads/?utm_source=Simplify&ref=Simplify,1mo
Trexquant,Quantitative Researcher,"Stamford, CT",https://apply.workable.com/trexquant/j/A634E0E3F4/?utm_source=Simplify&ref=Simplify,1mo
Old Mission,College Graduates - Full-Time - Junior Quantitative Trader,"London, UK",https://www.oldmissioncapital.com/careers/?gh_jid=6602928003&utm_source=Simplify&ref=Simplify,2mo
Old Mission,College Graduates - Full-Time - Junior Quantitative Trader,"Chicago, IL",https://www.oldmissioncapital.com/careers/?gh_jid=6602920003&utm_source=Simplify&ref=Simplify,2mo
Akuna Capital,Junior Quantitative Developer & Strategist,"Chicago, IL",https://www.akunacapital.com/job-details?gh_jid=7063563&utm_source=Simplify&ref=Simplify,2mo
Citadel Securities,Quantitative Research Analyst – University Graduate,"London, UK, Paris, France, Dublin, Ireland",https://www.citadelsecurities.com/careers/details/quantitative-research-analyst-university-graduate-europe/?utm_source=Simplify&ref=Simplify,2mo
Citadel Securities,Quantitative Trader – University Graduate,"Miami, FL, New York, NY",https://www.citadelsecurities.com/careers/details/quantitative-trader-university-graduate-us/?utm_source=Simplify&ref=Simplify,2mo
Citadel,Quantitative Research Analyst – University Graduate,"London, UK, Paris, France, Dublin, Ireland",https://www.citadel.com/careers/details/quantitative-research-analyst-university-graduate-europe/?utm_source=Simplify&ref=Simplify,2mo
Citadel Securities,Quantitative Research Analyst – University Graduate,"Miami, FL, New York, NY",https://www.citadelsecurities.com/careers/details/quantitative-research-analyst-university-graduate-us/?utm_source=Simplify&ref=Simplify,2mo
Citadel,Quantitative Research Engineer – University Graduate,"Miami, FL, New York, NY",https://www.citadel.com/careers/details/quantitative-research-engineer-university-graduate-us/?utm_source=Simplify&ref=Simplify,2mo
RTX,Software Engineer I,"Cedar Rapids, IA",https://globalhr.wd5.myworkdayjobs.com/rec_rtx_ext_gateway/job/HIA32-Cedar-Rapids-IA-400-Collins-Rd-NE---Cedar-Rapids-IA-52498-0505-USA/Software-Engineer-I--Onsite-_01792373?utm_source=Simplify&ref=Simplify,0d
RTX,Embedded Cybersecurity Software Engineer I,"Cedar Rapids, IA",https://globalhr.wd5.myworkdayjobs.com/rec_rtx_ext_gateway/job/HIA32-Cedar-Rapids-IA-400-Collins-Rd-NE---Cedar-Rapids-IA-52498-0505-USA/Embedded-Cybersecurity-Software-Engineer-I--Onsite-_01792039?utm_source=Simplify&ref=Simplify,0d
North Atlantic Industries,Software Engineer I,"Long Island, New York",https://recruiting.paylocity.com/Recruiting/Jobs/Details/3580950?utm_source=Simplify&ref=Simplify,1d
RTX,Software Engineer I - Raytheon,"Indianapolis, IN",https://globalhr.wd5.myworkdayjobs.com/rec_rtx_ext_gateway/job/IN206-3939PriorityWay-3939-Priority-Way-Building-6-Indianapolis-IN-46240-USA/XMLNAME-2026-Fulltime---Raytheon-Software-Engineer-I--On-site-_01793655?utm_source=Simplify&ref=Simplify,1d
RTX,Software Engineer I - Raytheon,"Tucson, AZ",https://globalhr.wd5.myworkdayjobs.com/rec_rtx_ext_gateway/job/AZ802-RMS-AP-Bldg-802-1151-East-Hermans-Road-Building-802-Tucson-AZ-85756-USA/XMLNAME-2026-Fulltime---Raytheon-Software-Engineer-I--On-site-_01793126?utm_source=Simplify&ref=Simplify,2d
Sev1Tech,Software Developer – Entry Level,"Lawton, OK",https://careers-sev1tech.icims.com/jobs/9092/job?mobile=true&needsRedirect=false&utm_source=Simplify&ref=Simplify,7d
RTX,Software Engineer I - C/C++ Linux,"Newport, RI",https://globalhr.wd5.myworkdayjobs.com/rec_rtx_ext_gateway/job/RI201-127-John-Clarke-Road-Middletwn-127-John-Clarke-Road-Suite-3-Middletown-RI-02842-USA/Software-Engineer-I---C-C---Linux--Onsite-_01791668?utm_source=Simplify&ref=Simplify,7d
Symbotic,New Grad-Hardware Engineer,"Burlington, MA",https://symbotic.wd1.myworkdayjobs.com/en-US/Symbotic/job/USA-Wilmington--MA---HQ/New-Grad--Hardware-Engineer_R5411?utm_source=Simplify&ref=Simplify,9d
Boom Supersonic,Software Engineer – New Grad,"Denver, CO",https://job-boards.greenhouse.io/boomsupersonic/jobs/5643302004?utm_source=Simplify&ref=Simplify,10d
Hewlett Packard Enterprise,Firmware Engineer Graduate,"Ft. Collins, CO",https://hpe.wd5.myworkdayjobs.com/en-US/Jobsathpe/job/Ft-Collins-Colorado-United-States-of-America/Firmware-Engineer-Graduate--Colorado-_1193613-1?utm_source=Simplify&ref=Simplify,13d
🔥 LinkedIn,Associate Product Builder (APB) - Rotational Program,"Mountain View, CA",https://jobs.smartrecruiters.com/LinkedIn3/a3b09881-7c3e-444c-9e65-ac0e2c6a8970?utm_source=Simplify&ref=Simplify,13d
Seagate Technology,Firmware Engineer – Early Career - AI/ML Focus,"Longmont, CO",https://seagatecareers.com/job/Longmont-Firmware-Engineer-Early-Career-(AIML-Focus)-CO-80501/1321668700/?ats=successfactors&utm_source=Simplify&ref=Simplify,19d
Generac,Hardware Engineer I,"Waukesha, WI",https://generac.wd5.myworkdayjobs.com/en-US/external/job/Waukesha-WI---USA/Hardware-Engineer-I_JR8765-1?utm_source=Simplify&ref=Simplify,20d
🔥 Google,Software Engineer – Early Career - PhD - Embedded Systems and Firmware 🎓," Seattle, WA, LA, Raleigh, NC, Durham, NC, Kirkland, WA, NYC, Sunnyvale, CA, Mountain View, CA, Atlanta, GA",https://www.google.com/about/careers/applications/jobs/results/96957711316329158?utm_source=Simplify&ref=Simplify,22d
Blue Origin,Autonomy Systems Engineer I 🇺🇸,"Seattle, WA",https://blueorigin.wd5.myworkdayjobs.com/en-US/BlueOrigin/job/Seattle-WA/Autonomy-Systems-Engineer-I---Early-Career_R54558-1?utm_source=Simplify&ref=Simplify,26d
🔥 Amazon,"Robotics Systems Engineer, Amazon Robotics Deployment Engineering","Austin, TX, Seattle, WA, North Reading, MA",https://www.amazon.jobs/en/jobs/3054843/robotics-systems-engineer-amazon-robotics-deployment-engineering?utm_source=Simplify&ref=Simplify,1mo
Blue Origin,Avionics Software Engineer 1 – Early Career 2025 University Grad,"Kent, WA, Huntsville, AL",https://blueorigin.wd5.myworkdayjobs.com/blueorigin/job/Seattle-WA/Avionics-Software-Engineer-1---Early-Career-2025-University-Grad_R54112?utm_source=Simplify&ref=Simplify,1mo
"Becton, Dickinson and Company",Software Engineer I,"Sparks, MD",https://bdx.wd1.myworkdayjobs.com/en-US/EXTERNAL_CAREER_SITE_USA/job/USA-MD---Sparks---7-Loveton-Circle/Software-Engineer-I----Hybrid-_R-523411-1?utm_source=Simplify&ref=Simplify,1mo
Applied Intuition,Embedded Software Engineer - New Grad,"Mountain View, CA",https://job-boards.greenhouse.io/appliedintuition/jobs/4592027005?utm_source=Simplify&ref=Simplify,1mo
Anduril Industries,"Air Dominance & Strike - Flight Software Engineer, Embedded C/C++ 🛂","Costa Mesa, CA",https://job-boards.greenhouse.io/andurilindustries/jobs/4164476007?gh_jid=4164476007&gh_src=&utm_source=Simplify&ref=Simplify,1mo
Lumafield,Embedded Systems Engineer 🛂,"Boston, MA, Everett, MA",https://jobs.lever.co/lumafield/0bdaed8e-3234-4073-afa6-410d1362fe25?utm_source=Simplify&ref=Simplify,1mo
Leidos,Software Developer – Entry level,"Lawton, OK",https://leidos.wd5.myworkdayjobs.com/External/job/Fort-Sill-OK/Software-Developer---Entry-level_R-00164213?utm_source=Simplify&ref=Simplify,1mo
Blue Origin,Intern Conversion: – Early Career - Avionics Software Engineer I," Seattle, WA, Washington, DC, LA, Cape Canaveral, FL, Phoenix, AZ, Denver, CO, Huntsville, AL, Van Horn, TX",https://blueorigin.wd5.myworkdayjobs.com/blueorigin/job/Seattle-WA/Intern-Conversion---Early-Career--Avionics-Software-Engineer-I_R54003?utm_source=Simplify&ref=Simplify,1mo
CACI,Entry Level DSP Software Engineer,"Rochester, NY",https://caci.wd1.myworkdayjobs.com/External/job/US-NY-Rochester/Entry-Level-DSP-Software-Engineer_314488-1?utm_source=Simplify&ref=Simplify,2mo
🔥 Google,Silicon Development Engineer – University Graduate - Frontend - PhD 🎓,"Madison, WI, Sunnyvale, CA",https://www.google.com/about/careers/applications/jobs/results/108642933007098566?utm_source=Simplify&ref=Simplify,3mo
RTX,2026 Raytheon Systems Security Engineer I,"Tucson, AZ",https://globalhr.wd5.myworkdayjobs.com/rec_rtx_ext_gateway/job/AZ201-RMS-AP-Bldg-801-1151-East-Hermans-Road-Building-801-Tucson-AZ-85756-USA/XMLNAME-2026-Raytheon-Systems-Security-Engineer-I---Onsite---Tucson--AZ_01790331?utm_source=Simplify&ref=Simplify,1d
Capital One,Product Development Program Associate 🛂,"Plano, TX",https://capitalone.wd12.myworkdayjobs.com/capital_one/job/Plano-TX/Product-Development-Program-Associate---2026_R219614-1?utm_source=Simplify&ref=Simplify,1d
Capital One,Technology Development Program Associate 🛂,"Plano, TX, Richmond, VA","https://capitalone.wd12.myworkdayjobs.com/en-US/Capital_One/job/Plano,-TX/Technology-Development-Program-Associate---August-2026_R218706-1?utm_source=Simplify&ref=Simplify",1d
RTX,2025 Raytheon Systems Security Engineer I,"Tucson, AZ",https://globalhr.wd5.myworkdayjobs.com/rec_rtx_ext_gateway/job/AZ201-RMS-AP-Bldg-801-1151-East-Hermans-Road-Building-801-Tucson-AZ-85756-USA/XMLNAME-2025-Raytheon-Systems-Security-Engineer-I---Onsite---Tucson--AZ_01792265?utm_source=Simplify&ref=Simplify,2d
RTX,Cybersecurity Engineer I,"Cedar Rapids, IA",https://globalhr.wd5.myworkdayjobs.com/rec_rtx_ext_gateway/job/HIA32-Cedar-Rapids-IA-400-Collins-Rd-NE---Cedar-Rapids-IA-52498-0505-USA/Cybersecurity-Engineer-I--Onsite-_01791225?utm_source=Simplify&ref=Simplify,8d
Aprio,"Assurance Associate - Blockchain, Digital Assets, Specialty Lending and AI","San Francisco, CA",https://jobs.lever.co/Aprio/e52783da-4116-4f88-9bfb-0cc6ce4a6993/?utm_source=Simplify&ref=Simplify,9d
LexisNexis Risk Solutions,Aspire Tech Graduate Security Engineer I 🎓,"Raleigh, NC",https://relx.wd3.myworkdayjobs.com/en-US/LexisNexisLegal/job/Raleigh-NC/Aspire-Tech-Graduate-Security-Engineer-I_R101084?utm_source=Simplify&ref=Simplify,12d
🔥 Roblox,"Associate Product Designer, Early Career 🇺🇸","San Mateo, CA",https://careers.roblox.com/jobs/7167345?utm_source=Simplify&ref=Simplify,13d
Epic,Technical Solutions Engineer 🛂,"Madison, WI",https://epic.avature.net/Careers/FolderDetail/Technical-Solutions-Engineer/742?utm_source=Simplify&ref=Simplify,14d
Viavi Solutions,Software Development Engineer I - C/C++ - Enterprise Network Performance and Cybersecurity Analytics Platform,"Hopkins, MN",https://viavisolutions.wd1.myworkdayjobs.com/careers/job/Minnetonka-MN-USA/Software-Development-Engineer-I--C-C------Enterprise-Network-Performance-and-Cybersecurity-Analytics-Platform_250003665-1?utm_source=Simplify&ref=Simplify,19d
Sierra Nevada Coporation,Systems Security Engineer I,"Lone Tree, CO",https://snc.wd1.myworkdayjobs.com/snc_external_career_site/job/Lone-Tree-CO/Systems-Security-Engineer-I_R0028118?utm_source=Simplify&ref=Simplify,22d
🔥 ByteDance,Cloud Network Engineer Graduate(Physical Network Infra),"San Jose, CA",https://joinbytedance.com/search/7538114876280817927?utm_source=Simplify&ref=Simplify,29d
🔥 ByteDance,Network Engineer Graduate (Physical Network Infra),"Seattle, WA",https://joinbytedance.com/search/7538109046751463688?utm_source=Simplify&ref=Simplify,29d
🔥 ByteDance,Network Engineer Graduate (Physical Network Infra),"San Jose, CA",https://joinbytedance.com/search/7538106304578963730?utm_source=Simplify&ref=Simplify,29d
🔥 ByteDance,Cloud Network Engineer Graduate(Physical Network Infra),"Seattle, WA",https://joinbytedance.com/search/7538433821165259015?utm_source=Simplify&ref=Simplify,29d
🔥 ByteDance,Site Reliability Engineer Graduate (Data Infrastructure),"Seattle, WA",https://joinbytedance.com/search/7535903852755814674?utm_source=Simplify&ref=Simplify,29d
Chime,Product Security Engineer,"San Francisco, CA",https://job-boards.greenhouse.io/chime/jobs/8101747002?utm_source=Simplify&ref=Simplify,29d
